ensembl_gene_id,regulator_class,ec_codes,go_terms,chen_nonprotein,in_structural_catalog,supplementary_support,go_experimental_protein,catalytic_status
ENSG00000084774,kinase,"""2.1.3.2|3.5.2.-""",GO:0004672|GO:0016301|GO:0016597|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000198668,kinase,2.7.11.19,,FALSE,FALSE,FALSE,FALSE,active
ENSG00000134072,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000183049,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000008118,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000070808,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000058404,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000145349,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000148660,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0004721|GO:0004722|GO:0016301|GO:0016773|GO:0016791|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000152495,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000004660,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000110931,kinase,2.7.11.17,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000164076,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,pseudo
ENSG00000147044,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0019205|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000108691,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000108700,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000110092,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,FALSE,FALSE,FALSE,active
ENSG00000112576,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472,FALSE,FALSE,FALSE,FALSE,active
ENSG00000090061,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472,FALSE,FALSE,TRUE,TRUE,active
ENSG00000143776,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000198752,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000171219,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000097046,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000170312,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000185324,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000008128,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000248333,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000167258,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000065883,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000058091,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000138395,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000102225,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000059758,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000117266,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000155111,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0097472|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
